取引時点,average
2021,399976.8816250655
2022,426435.4959925301
2006,140765.92866687922
2007,104731.87886724086
2008,101895.82410186244
2009,92917.5533017018
2010,100051.97584112037
2011,101762.14904471466
2012,91062.63484172084
2013,88495.06061001444
2014,93188.26417468706
2015,94269.88437455558
2016,94825.42348060204
2017,104213.37591813695
2018,96476.49931019088
2019,96933.36035826275
2020,92366.44221580656
2021,97267.5001929144
2022,91575.68242895008
2006,-1.0
2007,78524.30110068481
2008,79114.65573148827
2009,81140.31211059623
2010,81664.58624834922
2011,89110.90181423591
2012,87291.57392818318
2013,77495.9442036498
2014,78333.16048883359
2015,83728.4405586509
2016,86763.709076274
2017,84803.81728801076
2018,81701.61680108026
2019,81460.56473342571
2020,79194.50636202752
2021,86916.89398868101
2022,78154.85861479807
2006,86956.52173913043
2007,110775.16401988817
2008,106466.05508294512
2009,115723.64027935028
2010,106534.75825477536
2011,104856.40361100668
2012,100723.31591500789
2013,110744.59788303138
2014,101174.66305449864
2015,107707.5698716978
2016,107437.3551613418
2017,110208.07145558902
2018,110032.12614032604
2019,114593.29463975714
2020,121071.8922498592
2021,118113.57597013048
2022,116866.5549310542
2006,-1.0
2007,85301.66461664296
2008,87380.97756450603
2009,81363.6054046351
2010,105715.89074030877
2011,100286.73008688448
2012,89406.9938152527
2013,94410.88544257954
2014,87028.40083122811
2015,90421.90275970656
2016,90556.53482072824
2017,82965.05286522719
2018,84372.39742591832
2019,86990.12307495036
2020,77384.13732346048
2021,87570.60690242636
2022,85328.25505732943
2006,142222.22222222222
2007,79159.83003435862
2008,77689.27693359958
2009,75352.40042094438
2010,103753.70330052097
2011,80930.20590178113
2012,80285.44955810985
2013,78714.65259413705
2014,76950.54242220736
2015,86326.36915680196
2016,80463.02107524085
2017,92227.69213159708
2018,77820.411534787
2019,89150.85820588304
2020,82710.12033969836
2021,90342.17332145567
2022,78291.67229904149
2006,94689.77164819888
2007,77503.31371129303
2008,80769.49874443164
2009,74752.439058772
2010,85224.08270635527
2011,81456.05540190454
2012,70880.24346851405
2013,75195.41548318129
2014,76802.6561361855
2015,79973.39532010173
2016,74764.00417457975
2017,77456.65432237739
2018,76956.95497065637
2019,82458.89594312366
2020,84198.6209370874
2021,84507.33982047303
2022,83088.12190245795
2006,100296.6716665562
2007,105845.01905000814
2008,103157.22372954425
2009,97048.10484229302
2010,95875.90442323426
2011,97885.15527975526
2012,94763.736706653
2013,97728.27547876892
2014,96105.27763803973
2015,99820.35852853704
2016,96934.6316404584
2017,95182.5713507338
2018,93308.2524297746
2019,91722.97575716944
2020,95175.44774756434
2021,97371.94612540456
2022,87946.3412041722
2006,202080.7518882779
2007,152951.60835066513
2008,145324.80182673183
2009,140166.56435568858
2010,133799.74834256177
2011,136536.58299999393
2012,134965.01031542805
2013,134644.37752186292
2014,131808.5040384737
2015,136353.11420422755
2016,134801.5791750409
2017,131453.76710717508
2018,131237.17631245477
2019,127249.11492256686
2020,129166.44218675504
2021,134327.46707291235
2022,125509.56515289978
2006,273392.8887291228
2007,228256.58972632376
2008,216445.85259955496
2009,209819.222909751
2010,207313.44963745485
2011,209642.5366598603
2012,202336.02258139956
2013,212338.8965536572
2014,215099.0588828396
2015,221646.1373090978
2016,238983.22994454685
2017,241246.66739912963
2018,242975.58512375384
2019,256608.5483875614
2020,256902.36575121
2021,271107.7993106842
2022,286079.0407811639
2006,233333.3333333333
2007,107498.65868184507
2008,100657.75709577168
2009,101139.99755257154
2010,104207.99143256302
2011,96998.59265794064
2012,97901.10257040671
2013,99928.27501921383
2014,95546.66314319022
2015,99822.14967309828
2016,99147.32368288616
2017,96681.9290486036
2018,91907.42620865836
2019,95426.45353171456
2020,96354.7299427679
2021,94350.48031825844
2022,91139.37555070435
2006,180382.77511961723
2007,138663.92440242603
2008,139376.82479993626
2009,141105.066094972
2010,143680.93085437553
2011,134414.2159438953
2012,134695.53588626024
2013,136809.30992524017
2014,140532.9614623844
2015,146811.26856156244
2016,145439.8203573411
2017,141072.89466642254
2018,146219.8250163391
2019,146390.10472132274
2020,136989.8059179845
2021,156485.7033695875
2022,153621.60486447165
2006,299518.0033280505
2007,285198.283283676
2008,270186.28146806813
2009,261816.4918982857
2010,266001.85799474583
2011,256052.96531613544
2012,253647.5562174279
2013,262750.7825679748
2014,263199.04927141016
2015,275211.88275794487
2016,282289.8523655248
2017,299608.32019947306
2018,298320.00135722244
2019,309227.97558967595
2020,303528.54533717025
2021,338030.47190368595
2022,336919.5406780857
2006,379102.86615065846
2007,298387.86467364227
2008,278744.8120157856
2009,268185.8712219074
2010,262870.6284630947
2011,273360.5559076505
2012,262074.0311533208
2013,267406.98238981504
2014,274117.1060709873
2015,283783.0879612458
2016,305265.72276132053
2017,306895.28783657594
2018,301155.88088252646
2019,320253.1063830766
