"Title :","System of Social and Demographic Statistics of Japan"
"Open date :","Jun.27, 2023"

"***","Not surveyed or aggregated"
"-","Not available"
"X","Figures kept undisclosed"

"","","","","/ITEMS Code","A1101",""
"YEAR Code","YEAR","AREA Code","AREA","/ITEMS","A1101_Total population (Both sexes)[person]","Annotation"
"2017100000","2017","08000","Ibaraki-ken","","2,902,000",""
"2017100000","2017","09000","Tochigi-ken","","1,962,000",""
"2017100000","2017","10000","Gumma-ken","","1,963,000",""
"2017100000","2017","11000","Saitama-ken","","7,307,000",""
"2017100000","2017","12000","Chiba-ken","","6,258,000",""
"2017100000","2017","13000","Tokyo-to","","13,768,000",""
"2017100000","2017","14000","Kanagawa-ken","","9,173,000",""
"2017100000","2017","15000","Niigata-ken","","2,267,000",""
"2017100000","2017","16000","Toyama-ken","","1,056,000",""
"2017100000","2017","17000","Ishikawa-ken","","1,148,000",""
"2017100000","2017","18000","Fukui-ken","","780,000",""
"2017100000","2017","19000","Yamanashi-ken","","826,000",""
"2017100000","2017","20000","Nagano-ken","","2,082,000",""
"2017100000","2017","21000","Gifu-ken","","2,012,000",""
"2017100000","2017","22000","Shizuoka-ken","","3,681,000",""
"2017100000","2017","23000","Aichi-ken","","7,528,000",""
"2017100000","2017","24000","Mie-ken","","1,801,000",""
"2017100000","2017","25000","Shiga-ken","","1,414,000",""
"2017100000","2017","26000","Kyoto-fu","","2,604,000",""
"2017100000","2017","27000","Osaka-fu","","8,841,000",""
"2017100000","2017","28000","Hyogo-ken","","5,515,000",""
"2017100000","2017","29000","Nara-ken","","1,349,000",""
"2017100000","2017","30000","Wakayama-ken","","948,000",""
"2017100000","2017","31000","Tottori-ken","","566,000",""
"2017100000","2017","32000","Shimane-ken","","687,000",""
"2017100000","2017","33000","Okayama-ken","","1,911,000",""
"2017100000","2017","34000","Hiroshima-ken","","2,833,000",""
"2017100000","2017","35000","Yamaguchi-ken","","1,382,000",""
"2017100000","2017","36000","Tokushima-ken","","744,000",""
"2017100000","2017","37000","Kagawa-ken","","968,000",""
"2017100000","2017","38000","Ehime-ken","","1,368,000",""
"2017100000","2017","39000","Kochi-ken","","714,000",""
"2017100000","2017","40000","Fukuoka-ken","","5,123,000",""
"2017100000","2017","41000","Saga-ken","","825,000",""
"2017100000","2017","42000","Nagasaki-ken","","1,355,000",""
"2017100000","2017","43000","Kumamoto-ken","","1,767,000",""
"2017100000","2017","44000","Oita-ken","","1,152,000",""
"2017100000","2017","45000","Miyazaki-ken","","1,091,000",""
"2017100000","2017","46000","Kagoshima-ken","","1,626,000",""
"2017100000","2017","47000","Okinawa-ken","","1,448,000",""
"2016100000","2016","01000","Hokkaido","","5,355,000",""
"2016100000","2016","02000","Aomori-ken","","1,295,000",""
"2016100000","2016","03000","Iwate-ken","","1,268,000",""
"2016100000","2016","04000","Miyagi-ken","","2,332,000",""
"2016100000","2016","05000","Akita-ken","","1,011,000",""
"2016100000","2016","06000","Yamagata-ken","","1,114,000",""
"2016100000","2016","07000","Fukushima-ken","","1,903,000",""
"2016100000","2016","08000","Ibaraki-ken","","2,910,000",""
"2016100000","2016","09000","Tochigi-ken","","1,969,000",""
"2016100000","2016","10000","Gumma-ken","","1,969,000",""
"2016100000","2016","11000","Saitama-ken","","7,288,000",""
"2016100000","2016","12000","Chiba-ken","","6,242,000",""
"2016100000","2016","13000","Tokyo-to","","13,646,000",""
"2016100000","2016","14000","Kanagawa-ken","","9,152,000",""
"2016100000","2016","15000","Niigata-ken","","2,286,000",""
"2016100000","2016","16000","Toyama-ken","","1,061,000",""
"2016100000","2016","17000","Ishikawa-ken","","1,151,000",""
"2016100000","2016","18000","Fukui-ken","","783,000",""
"2016100000","2016","19000","Yamanashi-ken","","831,000",""
"2016100000","2016","20000","Nagano-ken","","2,091,000",""
"2016100000","2016","21000","Gifu-ken","","2,024,000",""
"2016100000","2016","22000","Shizuoka-ken","","3,690,000",""
"2016100000","2016","23000","Aichi-ken","","7,509,000",""
"2016100000","2016","24000","Mie-ken","","1,809,000",""
"2016100000","2016","25000","Shiga-ken","","1,414,000",""
"2016100000","2016","26000","Kyoto-fu","","2,608,000",""
"2016100000","2016","27000","Osaka-fu","","8,841,000",""
"2016100000","2016","28000","Hyogo-ken","","5,526,000",""
"2016100000","2016","29000","Nara-ken","","1,357,000",""
"2016100000","2016","30000","Wakayama-ken","","956,000",""
"2016100000","2016","31000","Tottori-ken","","570,000",""
"2016100000","2016","32000","Shimane-ken","","691,000",""
"2016100000","2016","33000","Okayama-ken","","1,917,000",""
"2016100000","2016","34000","Hiroshima-ken","","2,840,000",""
"2016100000","2016","35000","Yamaguchi-ken","","1,394,000",""
"2016100000","2016","36000","Tokushima-ken","","750,000",""
"2016100000","2016","37000","Kagawa-ken","","973,000",""
"2016100000","2016","38000","Ehime-ken","","1,377,000",""
"2016100000","2016","39000","Kochi-ken","","721,000",""
"2016100000","2016","40000","Fukuoka-ken","","5,113,000",""
"2016100000","2016","41000","Saga-ken","","829,000",""
"2016100000","2016","42000","Nagasaki-ken","","1,367,000",""
"2016100000","2016","43000","Kumamoto-ken","","1,775,000",""
"2016100000","2016","44000","Oita-ken","","1,160,000",""
"2016100000","2016","45000","Miyazaki-ken","","1,097,000",""
"2016100000","2016","46000","Kagoshima-ken","","1,637,000",""
"2016100000","2016","47000","Okinawa-ken","","1,442,000",""
"2015100000","2015","01000","Hokkaido","","5,381,733",""
"2015100000","2015","02000","Aomori-ken","","1,308,265",""
"2015100000","2015","03000","Iwate-ken","","1,279,594",""
"2015100000","2015","04000","Miyagi-ken","","2,333,899",""
"2015100000","2015","05000","Akita-ken","","1,023,119",""
"2015100000","2015","06000","Yamagata-ken","","1,123,891",""
"2015100000","2015","07000","Fukushima-ken","","1,914,039",""
"2015100000","2015","08000","Ibaraki-ken","","2,916,976",""
"2015100000","2015","09000","Tochigi-ken","","1,974,255",""
"2015100000","2015","10000","Gumma-ken","","1,973,115",""
"2015100000","2015","11000","Saitama-ken","","7,266,534",""
"2015100000","2015","12000","Chiba-ken","","6,222,666",""
"2015100000","2015","13000","Tokyo-to","","13,515,271",""
"2015100000","2015","14000","Kanagawa-ken","","9,126,214",""
"2015100000","2015","15000","Niigata-ken","","2,304,264",""
"2015100000","2015","16000","Toyama-ken","","1,066,328",""
"2015100000","2015","17000","Ishikawa-ken","","1,154,008",""
"2015100000","2015","18000","Fukui-ken","","786,740",""
"2015100000","2015","19000","Yamanashi-ken","","834,930",""
"2015100000","2015","20000","Nagano-ken","","2,098,804",""
"2015100000","2015","21000","Gifu-ken","","2,031,903",""
"2015100000","2015","22000","Shizuoka-ken","","3,700,305",""
"2015100000","2015","23000","Aichi-ken","","7,483,128",""
"2015100000","2015","24000","Mie-ken","","1,815,865",""
"2015100000","2015","25000","Shiga-ken","","1,412,916",""
"2015100000","2015","26000","Kyoto-fu","","2,610,353",""
"2015100000","2015","27000","Osaka-fu","","8,839,469",""
"2015100000","2015","28000","Hyogo-ken","","5,534,800",""
"2015100000","2015","29000","Nara-ken","","1,364,316",""
"2015100000","2015","30000","Wakayama-ken","","963,579",""
"2015100000","2015","31000","Tottori-ken","","573,441",""
"2015100000","2015","32000","Shimane-ken","","694,352",""
"2015100000","2015","33000","Okayama-ken","","1,921,525",""
"2015100000","2015","34000","Hiroshima-ken","","2,843,990",""
"2015100000","2015","35000","Yamaguchi-ken","","1,404,729",""
"2015100000","2015","36000","Tokushima-ken","","755,733",""
"2015100000","2015","37000","Kagawa-ken","","976,263",""
"2015100000","2015","38000","Ehime-ken","","1,385,262",""
"2015100000","2015","39000","Kochi-ken","","728,276",""
"2015100000","2015","40000","Fukuoka-ken","","5,101,556",""
"2015100000","2015","41000","Saga-ken","","832,832",""
"2015100000","2015","42000","Nagasaki-ken","","1,377,187",""
"2015100000","2015","43000","Kumamoto-ken","","1,786,170",""
"2015100000","2015","44000","Oita-ken","","1,166,338",""
"2015100000","2015","45000","Miyazaki-ken","","1,104,069",""
"2015100000","2015","46000","Kagoshima-ken","","1,648,177",""
"2015100000","2015","47000","Okinawa-ken","","1,433,566",""
"2014100000","2014","01000","Hokkaido","","5,410,000",""
"2014100000","2014","02000","Aomori-ken","","1,323,000",""
"2014100000","2014","03000","Iwate-ken","","1,290,000",""
"2014100000","2014","04000","Miyagi-ken","","2,335,000",""
"2014100000","2014","05000","Akita-ken","","1,037,000",""
"2014100000","2014","06000","Yamagata-ken","","1,134,000",""
"2014100000","2014","07000","Fukushima-ken","","1,927,000",""
"2014100000","2014","08000","Ibaraki-ken","","2,927,000",""
"2014100000","2014","09000","Tochigi-ken","","1,980,000",""
"2014100000","2014","10000","Gumma-ken","","1,979,000",""
"2014100000","2014","11000","Saitama-ken","","7,247,000",""
"2014100000","2014","12000","Chiba-ken","","6,209,000",""
"2014100000","2014","13000","Tokyo-to","","13,399,000",""
"2014100000","2014","14000","Kanagawa-ken","","9,103,000",""
"2014100000","2014","15000","Niigata-ken","","2,320,000",""
"2014100000","2014","16000","Toyama-ken","","1,072,000",""
"2014100000","2014","17000","Ishikawa-ken","","1,157,000",""
"2014100000","2014","18000","Fukui-ken","","791,000",""
"2014100000","2014","19000","Yamanashi-ken","","841,000",""
"2014100000","2014","20000","Nagano-ken","","2,110,000",""
"2014100000","2014","21000","Gifu-ken","","2,043,000",""
"2014100000","2014","22000","Shizuoka-ken","","3,715,000",""
"2014100000","2014","23000","Aichi-ken","","7,464,000",""
"2014100000","2014","24000","Mie-ken","","1,826,000",""
"2014100000","2014","25000","Shiga-ken","","1,414,000",""
"2014100000","2014","26000","Kyoto-fu","","2,616,000",""
"2014100000","2014","27000","Osaka-fu","","8,845,000",""
"2014100000","2014","28000","Hyogo-ken","","5,550,000",""
"2014100000","2014","29000","Nara-ken","","1,373,000",""
"2014100000","2014","30000","Wakayama-ken","","972,000",""
"2014100000","2014","31000","Tottori-ken","","577,000",""
"2014100000","2014","32000","Shimane-ken","","699,000",""
"2014100000","2014","33000","Okayama-ken","","1,926,000",""
"2014100000","2014","34000","Hiroshima-ken","","2,846,000",""
"2014100000","2014","35000","Yamaguchi-ken","","1,415,000",""
"2014100000","2014","36000","Tokushima-ken","","763,000",""
"2014100000","2014","37000","Kagawa-ken","","980,000",""
"2014100000","2014","38000","Ehime-ken","","1,396,000",""
"2014100000","2014","39000","Kochi-ken","","736,000",""
"2014100000","2014","40000","Fukuoka-ken","","5,099,000",""
"2014100000","2014","41000","Saga-ken","","837,000",""
"2014100000","2014","42000","Nagasaki-ken","","1,387,000",""
"2014100000","2014","43000","Kumamoto-ken","","1,795,000",""
"2014100000","2014","44000","Oita-ken","","1,173,000",""
"2014100000","2014","45000","Miyazaki-ken","","1,112,000",""
"2014100000","2014","46000","Kagoshima-ken","","1,662,000",""
"2014100000","2014","47000","Okinawa-ken","","1,426,000",""
"2013100000","2013","01000","Hokkaido","","5,438,000",""
"2013100000","2013","02000","Aomori-ken","","1,337,000",""
"2013100000","2013","03000","Iwate-ken","","1,299,000",""
"2013100000","2013","04000","Miyagi-ken","","2,333,000",""
"2013100000","2013","05000","Akita-ken","","1,050,000",""
"2013100000","2013","06000","Yamagata-ken","","1,144,000",""
"2013100000","2013","07000","Fukushima-ken","","1,940,000",""
"2013100000","2013","08000","Ibaraki-ken","","2,937,000",""
"2013100000","2013","09000","Tochigi-ken","","1,986,000",""
"2013100000","2013","10000","Gumma-ken","","1,986,000",""
"2013100000","2013","11000","Saitama-ken","","7,228,000",""
"2013100000","2013","12000","Chiba-ken","","6,201,000",""
"2013100000","2013","13000","Tokyo-to","","13,307,000",""
"2013100000","2013","14000","Kanagawa-ken","","9,084,000",""
"2013100000","2013","15000","Niigata-ken","","2,336,000",""
"2013100000","2013","16000","Toyama-ken","","1,077,000",""
