"Title :","System of Social and Demographic Statistics of Japan"
"Open date :","Jun.27, 2023"

"***","Not surveyed or aggregated"
"-","Not available"
"X","Figures kept undisclosed"

"","","","","/ITEMS Code","A1101",""
"YEAR Code","YEAR","AREA Code","AREA","/ITEMS","A1101_Total population (Both sexes)[person]","Annotation"
"2013100000","2013","17000","Ishikawa-ken","","1,160,000",""
"2013100000","2013","18000","Fukui-ken","","796,000",""
"2013100000","2013","19000","Yamanashi-ken","","847,000",""
"2013100000","2013","20000","Nagano-ken","","2,122,000",""
"2013100000","2013","21000","Gifu-ken","","2,053,000",""
"2013100000","2013","22000","Shizuoka-ken","","3,730,000",""
"2013100000","2013","23000","Aichi-ken","","7,449,000",""
"2013100000","2013","24000","Mie-ken","","1,833,000",""
"2013100000","2013","25000","Shiga-ken","","1,415,000",""
"2013100000","2013","26000","Kyoto-fu","","2,622,000",""
"2013100000","2013","27000","Osaka-fu","","8,856,000",""
"2013100000","2013","28000","Hyogo-ken","","5,565,000",""
"2013100000","2013","29000","Nara-ken","","1,381,000",""
"2013100000","2013","30000","Wakayama-ken","","980,000",""
"2013100000","2013","31000","Tottori-ken","","580,000",""
"2013100000","2013","32000","Shimane-ken","","704,000",""
"2013100000","2013","33000","Okayama-ken","","1,932,000",""
"2013100000","2013","34000","Hiroshima-ken","","2,850,000",""
"2013100000","2013","35000","Yamaguchi-ken","","1,425,000",""
"2013100000","2013","36000","Tokushima-ken","","769,000",""
"2013100000","2013","37000","Kagawa-ken","","985,000",""
"2013100000","2013","38000","Ehime-ken","","1,406,000",""
"2013100000","2013","39000","Kochi-ken","","743,000",""
"2013100000","2013","40000","Fukuoka-ken","","5,096,000",""
"2013100000","2013","41000","Saga-ken","","841,000",""
"2013100000","2013","42000","Nagasaki-ken","","1,397,000",""
"2013100000","2013","43000","Kumamoto-ken","","1,801,000",""
"2013100000","2013","44000","Oita-ken","","1,180,000",""
"2013100000","2013","45000","Miyazaki-ken","","1,119,000",""
"2013100000","2013","46000","Kagoshima-ken","","1,675,000",""
"2013100000","2013","47000","Okinawa-ken","","1,419,000",""
"2012100000","2012","01000","Hokkaido","","5,465,000",""
"2012100000","2012","02000","Aomori-ken","","1,350,000",""
"2012100000","2012","03000","Iwate-ken","","1,306,000",""
"2012100000","2012","04000","Miyagi-ken","","2,329,000",""
"2012100000","2012","05000","Akita-ken","","1,063,000",""
"2012100000","2012","06000","Yamagata-ken","","1,153,000",""
"2012100000","2012","07000","Fukushima-ken","","1,957,000",""
"2012100000","2012","08000","Ibaraki-ken","","2,947,000",""
"2012100000","2012","09000","Tochigi-ken","","1,992,000",""
"2012100000","2012","10000","Gumma-ken","","1,994,000",""
"2012100000","2012","11000","Saitama-ken","","7,216,000",""
"2012100000","2012","12000","Chiba-ken","","6,200,000",""
"2012100000","2012","13000","Tokyo-to","","13,234,000",""
"2012100000","2012","14000","Kanagawa-ken","","9,070,000",""
"2012100000","2012","15000","Niigata-ken","","2,350,000",""
"2012100000","2012","16000","Toyama-ken","","1,083,000",""
"2012100000","2012","17000","Ishikawa-ken","","1,164,000",""
"2012100000","2012","18000","Fukui-ken","","800,000",""
"2012100000","2012","19000","Yamanashi-ken","","852,000",""
"2012100000","2012","20000","Nagano-ken","","2,132,000",""
"2012100000","2012","21000","Gifu-ken","","2,062,000",""
"2012100000","2012","22000","Shizuoka-ken","","3,739,000",""
"2012100000","2012","23000","Aichi-ken","","7,431,000",""
"2012100000","2012","24000","Mie-ken","","1,841,000",""
"2012100000","2012","25000","Shiga-ken","","1,414,000",""
"2012100000","2012","26000","Kyoto-fu","","2,628,000",""
"2012100000","2012","27000","Osaka-fu","","8,861,000",""
"2012100000","2012","28000","Hyogo-ken","","5,575,000",""
"2012100000","2012","29000","Nara-ken","","1,388,000",""
"2012100000","2012","30000","Wakayama-ken","","988,000",""
"2012100000","2012","31000","Tottori-ken","","583,000",""
"2012100000","2012","32000","Shimane-ken","","708,000",""
"2012100000","2012","33000","Okayama-ken","","1,937,000",""
"2012100000","2012","34000","Hiroshima-ken","","2,855,000",""
"2012100000","2012","35000","Yamaguchi-ken","","1,434,000",""
"2012100000","2012","36000","Tokushima-ken","","775,000",""
"2012100000","2012","37000","Kagawa-ken","","989,000",""
"2012100000","2012","38000","Ehime-ken","","1,415,000",""
"2012100000","2012","39000","Kochi-ken","","751,000",""
"2012100000","2012","40000","Fukuoka-ken","","5,089,000",""
"2012100000","2012","41000","Saga-ken","","845,000",""
"2012100000","2012","42000","Nagasaki-ken","","1,408,000",""
"2012100000","2012","43000","Kumamoto-ken","","1,807,000",""
"2012100000","2012","44000","Oita-ken","","1,186,000",""
"2012100000","2012","45000","Miyazaki-ken","","1,125,000",""
"2012100000","2012","46000","Kagoshima-ken","","1,687,000",""
"2012100000","2012","47000","Okinawa-ken","","1,411,000",""
"2011100000","2011","01000","Hokkaido","","5,488,000",""
"2011100000","2011","02000","Aomori-ken","","1,363,000",""
"2011100000","2011","03000","Iwate-ken","","1,315,000",""
"2011100000","2011","04000","Miyagi-ken","","2,326,000",""
"2011100000","2011","05000","Akita-ken","","1,075,000",""
"2011100000","2011","06000","Yamagata-ken","","1,162,000",""
"2011100000","2011","07000","Fukushima-ken","","1,988,000",""
"2011100000","2011","08000","Ibaraki-ken","","2,960,000",""
"2011100000","2011","09000","Tochigi-ken","","2,000,000",""
"2011100000","2011","10000","Gumma-ken","","2,001,000",""
"2011100000","2011","11000","Saitama-ken","","7,209,000",""
