DATE,QJPN628BIS
1973-10-01,90754.29088618449
1974-01-01,94395.0093423619
1974-04-01,95185.0570884305
1974-07-01,95983.7791126452
1974-10-01,93203.4664363881
1975-01-01,90423.2914470857
1975-04-01,90686.5489044721
1975-07-01,90952.8354748619
1975-10-01,91350.06233917139
1976-01-01,91747.15151652621
1976-04-01,92541.60524514521
1976-07-01,93335.9212868095
1976-10-01,94328.78191715121
1977-01-01,95321.78023444761
1977-04-01,96375.0854379026
1977-07-01,97440.09403250711
1977-10-01,98631.4992515262
1978-01-01,99823.0421575
1978-04-01,101468.8143270291
1978-07-01,103132.8988615333
1978-10-01,105251.0749726381
1979-01-01,107369.3887706976
1979-04-01,110397.5379654147
1979-07-01,113459.4204640333
1979-10-01,117232.59377063211
1980-01-01,121005.7670772309
1980-04-01,124977.4849725071
1980-07-01,128949.20286778329
1980-10-01,132391.3767352833
1981-01-01,135833.5506027833
1981-04-01,139059.1428905402
1981-07-01,142320.6714734738
1981-10-01,145233.30131319762
1982-01-01,148145.9311529214
1982-04-01,150515.79901721783
1982-07-01,152911.9650898619
1982-10-01,154831.734299244
1983-01-01,156751.36582167138
1983-04-01,158265.5092625073
1983-07-01,159796.3128248619
1983-10-01,161120.3105812571
1984-01-01,162444.1706506976
1984-04-01,163569.4861314607
1984-07-01,164694.8016122238
1984-10-01,165820.11709298688
1985-01-01,166945.43257375
1985-04-01,167801.2946841652
1985-07-01,168666.5195075
1985-10-01,169593.2903995857
1986-01-01,170520.0612916714
1986-04-01,171704.99522381963
1986-07-01,172903.147103619
1986-10-01,175551.0049294547
1987-01-01,178198.7250683357
1987-04-01,183662.69417865053
1987-07-01,189187.24554903328
1987-10-01,191106.8770714607
1988-01-01,193026.6462808428
1988-04-01,195012.5052284809
1988-07-01,196998.364176119
1988-10-01,200241.99345494158
1989-01-01,203485.4850468095
1989-04-01,208291.0351397489
1989-07-01,213150.14545806657
1989-10-01,221358.3532625071
1990-01-01,229566.5610669476
1990-04-01,237532.02677025198
1990-07-01,245586.02518542847
1990-10-01,248630.972188619
1991-01-01,251675.91919180952
1991-04-01,251346.84737007652
1991-07-01,251014.05800056658
1991-10-01,248233.7453243095
1992-01-01,245453.5703350071
1992-04-01,242408.62333181658
1992-07-01,239363.53864167142
1992-10-01,236318.5916384809
1993-01-01,233273.50694833568
1993-04-01,231298.6629570736
1993-07-01,229301.78905305953
1993-10-01,227845.4741331976
1994-01-01,226389.1592133357
1994-04-01,225467.6204255286
1994-07-01,224535.75511611902
1994-10-01,223741.4390744547
1995-01-01,222946.9853458357
1995-04-01,222091.26092237522
1995-07-01,221225.8984120857
1995-10-01,220100.5829313226
1996-01-01,218975.2674505595
1996-04-01,217982.4068202178
1996-07-01,216989.40850292143
1996-10-01,216327.4096247238
1997-01-01,215665.54843348093
1997-04-01,215073.0814674068
1997-07-01,214474.00552750708
1997-10-01,213679.6894858428
1998-01-01,212885.23575722377
1998-04-01,211832.06824072354
1998-07-01,210767.05964611899
1998-10-01,208979.7452871583
1999-01-01,207192.43092819757
1999-04-01,205480.8443943219
1999-07-01,203750.2570606976
1999-10-01,201764.39811305952
2000-01-01,199778.53916542142
2000-04-01,197792.68021778332
2000-07-01,195806.8212701452
2000-10-01,193688.50747208568
2001-01-01,191570.3313609809
2001-04-01,189332.09222537768
2001-07-01,187068.9317509738
